Store,Address,City,State,Zip,Type,Sum_Bakery,Sum_Deli,Sum_Floral,Sum_Dry_Grocery,Sum_Dairy,Sum_Frozen_Food,Sum_Meat,Right_Store,Year,Sum_Produce,Sum_General_Merchandise,Total_Sales,Percent_Dry_Grocery,Percent_Dairy,Percent_Frozen_Food,Percent_Meat,Percent_Produce,Percent_Floral,Percent_Deli,Percent_Bakery,Percent_General_Merchandise,Cluster
S0001,1000 W El Norte Pkwy,Escondido,CA,92027,Existing,835599.06,1023812.9,159142.23,10845787.65,2423389.38,1814872.88,2531382.34,S0001,2015,2284388.7,1590570.68,23508945.82,46.1347256191005,10.3083711135117,7.71992455083212,10.7677407544427,9.71710393775539,0.676943284562813,4.35499280928625,3.55438762077167,6.76581030973681,1
S0002,12419 Woodside Ave,Lakeside,CA,92040,Existing,514864.68,689786.42,128935.92,7931072.94,1844188.83,1366677.52,1991807.66,S0002,2015,1755293.15,1111992.45,17334619.57,45.7527949083223,10.6387614827823,7.88409295330154,11.4903453863337,10.1259398448973,0.743805882092398,3.97924175500092,2.97015275080537,6.41486503646414,1
S0003,1342 N Alvarado St,Los Angeles,CA,90026,Existing,1091930.44,1262874.27,291259.69,12741875.44,3095321.58,2087437.15,3468989.12,S0003,2015,3792143.03,2408831.27,30240661.99,42.1349090976034,10.2356277155029,6.90274951881104,11.4712737477345,12.5398810093972,0.963139266251227,4.17608010835744,3.6108020398531,7.96553749648918,2
S0004,671 S Rancho Santa Fe Rd,San Marcos,CA,92078,Existing,962155.820000001,1166388.77,170822.64,12688533.89,2710746.38,2240847.44,3565375.84,S0004,2015,2802811.88,1606208.31,27913890.97,45.4559842754878,9.71110184142128,8.02771438209139,12.7727655160358,10.0409215003823,0.611962840234595,4.1785244889491,3.44687102573433,5.75415412966342,1
S0005,1430 S Fairfax Ave,Los Angeles,CA,90019,Existing,629055.94,984736.25,247017.36,12248085.57,2957003.74,2402445.89,2834435.52,S0005,2015,3648309.02,1874796.88,27825886.17,44.016875132642,10.6268088711872,8.63385221704154,10.1863261521421,13.1112051480084,0.887725043115851,3.53892143446514,2.26068609695603,6.73759990444179,2
S0006,9643 Mission Gorge Rd,Santee,CA,92071,Existing,1226324.72,1603464.11,286180.46,15921985.74,3414385.76,2577624.88,3702008.49,S0006,2015,3524245.59,2369201.12,34625420.87,45.9835154055703,9.86092204573974,7.44431349925711,10.6915913135008,10.1782028967436,0.826503917669203,4.63088698912904,3.54168899377193,6.84237493861833,1
S0007,820 Arneill Rd,Camarillo,CA,93010,Existing,931336.009999999,1428888.69,241915.18,13644163.44,3152200.12,2752056.93,3553409,S0007,2015,3192688.95,1966428.99,30863087.31,44.208679782917,10.21349578005,8.91698520746595,11.513459312441,10.344684308253,0.78383337859274,4.62976589363121,3.0176372202992,6.37145911634982,1
S0008,3461 W 3rd St,Los Angeles,CA,90020,Existing,653608.200000001,951990.47,229334.44,12503176.41,3173008.04,2343931.3,3118893.04,S0008,2015,3609692.16,2598245.71,29181879.77,42.8456854340607,10.8732133262435,8.03214638150091,10.6877729076464,12.3696355013802,0.785879599969306,3.26226575362249,2.23977415146482,8.90362694411168,2
S0009,4033 W Avenue L,Lancaster,CA,93536,Existing,1047732.42,1798155.15,296476.2,17990212.13,4083162.02,3134343.14,4837013.88,S0009,2015,4210541.86,3280983.51,40678620.31,44.2252268953612,10.0376118680609,7.70513630038108,11.8908012197526,10.3507489386628,0.728825603574164,4.42039365223496,2.57563410955321,8.06562141241903,3
S0010,1040 Coast Village Rd,Montecito,CA,93108,Existing,825864.13,805192.95,225352.37,9364058.9,2495117.23,1743731.4,2325539.02,S0010,2015,2639823.51,1279248.61,21703928.12,43.1445351653699,11.4961550563779,8.03417423039273,10.71483008579,12.1628835822001,1.03830223153172,3.70989502705744,3.80513668048399,5.89408794079622,2
S0011,3251 De Forest Cir Ste A,Mira Loma,CA,91752,Existing,726534.57,1091045.18,176845.1,10163008.45,2104841.34,1609834.78,2719787.7,S0011,2015,2205228.62,1598547.88,22395673.62,45.3793380919971,9.39842835591385,7.18815074426861,12.1442549402539,9.84667243065493,0.789639566108304,4.87167833623751,3.24408447063268,7.13775306393306,1
S0012,1124 W Ocean Ave,Lompoc,CA,93436,Existing,914460.49,2216645.21,335699.97,22920867.6,4784134.92,3657381.26,5626478.83,S0012,2015,4639016.01,4091856.84,49186541.13,46.5998768635106,9.72651219234045,7.43573582524037,11.4390617854775,9.43147434933285,0.682503713999212,4.50660924528401,1.8591681158939,8.31905790892111,3
S0013,3520 Riverside Plaza Dr,Riverside,CA,92506,Existing,1342741.95,1812614.94,309895.27,17451783.56,3553516.21,2951489.37,4467174.88,S0013,2015,3629467.14,3650467.09,39169150.41,44.5549198216577,9.07223203159591,7.53523969528446,11.4048296509886,9.26613700325086,0.791171794016964,4.62765957654582,3.42805992967668,9.31975049698301,3
S0014,3901 Portola Pkwy,Irvine,CA,92620,Existing,636768.63,1082305.37,330321.91,13770222.43,3029633.62,2391810.25,3058413.55,S0014,2015,3311035.35,3377451.51,30987962.62,44.4373274837776,9.77680803721068,7.71851405440995,9.86968258450804,10.6849081709651,1.0659684666936,3.49266385554973,2.05489027403506,10.8992370728502,3
S0015,10675 Scripps Poway Pkwy,San Diego,CA,92131,Existing,937785.14,1306527.72,287081.34,16733288.07,3689264.26,2908692.42,3735002.13,S0015,2015,3921200.02,3834916.56,37353757.66,44.7967998890744,9.87655457204677,7.78688036281488,9.99899973651004,10.4974713807682,0.768547417941353,3.49771429126951,2.5105510094483,10.2664813401266,3
S0016,1201 Avocado Ave,El Cajon,CA,92020,Existing,670693.26,1075451.66,145993.89,11144879.86,2135270.92,1823002.86,2570843.14,S0016,2015,2065999.38,1720661.82,23352796.79,47.7239619743208,9.14353402378919,7.80635774118771,11.0087162711957,8.84690342907745,0.625166618426264,4.60523709288869,2.87200400890398,7.36811884021023,1
S0017,30252 Crown Valley Pkwy,Laguna Niguel,CA,92677,Existing,890682.47,1288667.35,422332.61,13818627.34,3158295.28,2484711.41,3081529.14,S0017,2015,4215854.25,2180252.8,31540952.65,43.8116993273505,10.0133160689425,7.87773101710674,9.76993045896475,13.3662869881643,1.33899763487328,4.08569571217437,2.82389209953048,6.91245069289307,2
S0018,10001 Paramount Blvd,Downey,CA,90240,Existing,848925.03,1044561.79,226217.15,10994579.22,2399399.79,1918423.17,2575042.16,S0018,2015,2646907.99,1624673.09,24278729.39,45.2848213075289,9.88272389158995,7.90166214707334,10.6061652512204,10.9021685092393,0.931750366199868,4.30237420262297,3.49657931584203,6.69175500868334,1
S0019,17390 Main St,Hesperia,CA,92345,Existing,385628.7,638836.560000001,113276.66,9500819.34,1918345.51,1532868.24,2197008.49,S0019,2015,1865858.21,1529502.66,19682144.37,48.2712613087087,9.74662858851899,7.78811602630268,11.1624447453436,9.47995388573608,0.575530073708122,3.24576706679243,1.95928193976559,7.77101636512383,3
S0020,850 Linden Ave,Carpinteria,CA,93013,Existing,705612.78,914548.27,201233.89,10997288.18,2568277.53,1866647.95,2600090.68,S0020,2015,2615310,1501802.12,23970811.4,45.8778303182511,10.7141868797983,7.78717048351563,10.8469030798015,10.9103941304215,0.839495529133402,3.81525787650225,2.94363327225544,6.26512843032089,2
S0021,1311 Wilshire Blvd,Santa Monica,CA,90403,Existing,612390.49,795313.459999999,194611.01,9410854.64999999,2656706.22,1879698.39,1874153.33,S0021,2015,3217947.64,1100774.09,21742449.28,43.2833234600513,12.2189831779614,8.64529274413007,8.61978936165191,14.8002996284327,0.895073997845381,3.65788347834196,2.81656625761714,5.06278789396813,2
S0022,13438 Poway Rd,Poway,CA,92064,Existing,970143.130000001,1229095.06,246755.04,13404375.38,2752887.18,2163727.82,3022688.81,S0022,2015,2625382.14,2074377.15,28489431.71,47.0503431463499,9.66283640903133,7.59484373723227,10.6098599676139,9.21528434376763,0.866128333172006,4.31421403035069,3.40527371649703,7.28121631598526,1
S0023,5922 Edinger Ave,Huntington Beach,CA,92649,Existing,640114.98,678086.29,167752.48,7723456.22999999,1921840.1,1491504.46,1938579.85,S0023,2015,1893525.06,1233253.09,17688112.54,43.6646714709335,10.8651507935284,8.43224203049988,10.959789212196,10.7050713054769,0.948391071238628,3.83357064506782,3.61889929494988,6.97221417610904,2
S0024,15740 La Forge St,Whittier,CA,90603,Existing,562929.26,1008674.17,132218.66,11160900.76,2550573.86,2014391.25,2570942.73,S0024,2015,2709800.59,1813070.15,24523501.43,45.5110408758624,10.4005289264274,8.21412576727629,10.4835874980517,11.0498111280515,0.53915082386341,4.11309197782855,2.29546853905356,7.39319446358521,3
S0025,2684 N Tustin St,Orange,CA,92865,Existing,961693.58,1324244.75,166116.52,14470649.14,3278235.63,2493889.08,3286736.53,S0025,2015,3498500.3,1838856.38,31318921.91,46.2041738907353,10.467268443724,7.96288290882616,10.4944114597717,11.1705642679959,0.530403059458313,4.22825777274656,3.07064714029296,5.87139105644904,1
S0026,2039 Verdugo Blvd,Montrose,CA,91020,Existing,648571.84,799105.96,176843.89,9711806.15,2236359.26,1664161.72,2119542.42,S0026,2015,2411984.05,1451771.86,21220147.15,45.7669123656383,10.5388489730619,7.84236654079942,9.98834930322337,11.3664812640095,0.833377302946743,3.76578896626549,3.05639652456416,6.84147875949107,2
S0027,29211 Heathercliff Rd,Malibu,CA,90265,Existing,620490.05,789146.71,431558.24,11859562.08,2762018.81,2061424.43,2638827.83,S0027,2015,3511115.94,1876040.56,26550184.65,44.6684730684161,10.4030116792427,7.76425647194134,9.93901874802968,13.2244501734567,1.62544345995726,2.97228332082429,2.33704608152321,7.06601699660872,2
S0028,24160 Lyons Ave,Newhall,CA,91321,Existing,521856.64,645670.38,61139.8299999999,7841593.17,1787154.37,1366909.87,2062508.92,S0028,2015,2017244.48,1007023.92,17311101.58,45.2980599401,10.3237472308796,7.89614608685117,11.9143713094658,11.6528949395721,0.353182781104101,3.72980527562706,3.01457788568993,5.8172145507103,1
S0029,2058 W Avenue J,Lancaster,CA,93534,Existing,598927.39,1440562.53,209019.35,14829406.83,3341340.32,2451973.11,4420784.46,S0029,2015,3333528.94,2981115.45,33606658.38,44.1263950206525,9.94249497292626,7.29609317973493,13.1544898335709,9.91925142424708,0.62195814780678,4.28653903554216,1.78216882865222,8.87060955686722,3
S0030,3125 W Florida Ave,Hemet,CA,92545,Existing,779454.599999999,1225710.44,211755.18,11232100.21,2789061.75,1805115.79,2839990.86,S0030,2015,2965450.25,1648698.92,25497338,44.0520504924867,10.9386389669384,7.07962450825259,11.1383818185255,11.6304307924223,0.830499168187674,4.80720944280537,3.05700383310603,6.46616097727536,1
S0031,31564 Grape St,Lake Elsinore,CA,92532,Existing,595091.290000001,1133312.67,184062.48,13344842.36,3014887.33,2274456.12,3304425.47,S0031,2015,2575738.86,2842620.56,29269437.14,45.5930952692041,10.3004622725724,7.77075455575364,11.2896789036101,8.8000970011137,0.628855550312097,3.87200021845039,2.03314907339554,9.71190715558803,3
S0032,16550 Soledad Canyon Rd,Santa Clarita,CA,91351,Existing,567271.16,966854.670000001,157300.51,10839766.57,2277093.41,1769568.5,2797084.07,S0032,2015,2331785.09,2458833.29,24165557.27,44.8562656713772,9.42288805740418,7.3226885696396,11.5746723270164,9.64920884690196,0.650928543639581,4.00096161324733,2.34743669952205,10.1749496712517,3
S0033,11322 Los Alamitos Blvd,Los Alamitos,CA,90720,Existing,923256.25,1345068.95,296740.91,14465006.19,3356605.45,2631936.7,3916347.08,S0033,2015,3730920.43,2294605.79,32960487.75,43.8858984724824,10.1837250572847,7.98512667640969,11.881945163266,11.3193726327669,0.900292836230859,4.08085268701766,2.80110008384205,6.96168639069972,2
S0034,1125 Maricopa Hwy,Ojai,CA,93023,Existing,902119.1,1372806.13,362451.26,13566943.93,3218941.92,2562510.4,3402503.03,S0034,2015,3561114.71,2100665.64,31050056.12,43.693782315779,10.3669439680227,8.25283661355263,10.9581219977518,11.4689477411482,1.16731273721125,4.42126778996623,2.90537027216168,6.76541656440652,2
S0035,81 W Foothill Blvd,Upland,CA,91786,Existing,537480.27,742343.57,132984.09,8525732.59,1856416.79,1448285.37,2243507.61,S0035,2015,1615522.5,1262948.38,18365221.17,46.4232502896669,10.1083279793684,7.88602193566722,12.2160663856574,8.7966405906344,0.724108295614933,4.04211614512236,2.92662018619186,6.87684819207653,1
S0036,33644 Yucaipa Blvd,Yucaipa,CA,92399,Existing,283134.94,545124.18,103705.82,8814761.2,1687871.64,1432261.65,1795257.75,S0036,2015,1748605.79,1416381.48,17827104.45,49.4458380760763,9.46800780089668,8.03417994221715,10.07038330333,9.80869212330217,0.581731151521918,3.05783915458015,1.58822730182635,7.94510114624924,3
S0037,4627 Carmel Mountain Rd,San Diego,CA,92130,Existing,635399.37,1246123.74,256331.63,13507345.36,3060559.9,2410415.17,3383050.92,S0037,2015,3562066.35,3225658.13,31286950.57,43.1724572510807,9.78222499873371,7.7042189350063,10.8129774821963,11.3851503106076,0.819292469640003,3.9828865303187,2.03087663841954,10.3099153839971,3
S0038,5805 E Los Angeles Ave,Simi Valley,CA,93063,Existing,593747.63,782759.5,155092.65,9122829.82,2227430.86,1714191.72,2453893.95,S0038,2015,2171273.05,1411229.41,20632448.59,44.2159338490808,10.7957659522757,8.30823211565313,11.8933724191579,10.5235839581947,0.751692894439924,3.79382745865357,2.87773711108518,6.83985424145918,2
S0039,1221 S Gaffey St,San Pedro,CA,90731,Existing,1010486.17,758905.04,147463.34,9669474.43000001,2328789.52,1581216.99,2939723.13,S0039,2015,1579637.47,1345626.92,21361323.01,45.2662713141568,10.9018974101455,7.40224277896914,13.7618963423933,7.39484848040785,0.690328683906736,3.55270616733209,4.73044749862616,6.29936132406248,1
S0040,4550 Atlantic Ave,Long Beach,CA,90807,Existing,700204.9,1464123.59,299539.75,16073815.58,3677680.76,2788687.32,4769599.23,S0040,2015,4543001.51,2709070.05,37025722.69,43.4125640560184,9.93277238851378,7.53175662052148,12.8818531644439,12.2698523619283,0.809004465646528,3.95434169444432,1.89113094661921,7.316724301864,3
S0041,12801 Excelsior Dr,Santa Fe Springs,CA,90670,Existing,705443.21,1261126.41,172803.28,11674107.53,2674726.45,2087500.74,2595859.27,S0041,2015,2402327.77,1693623.67,25267518.33,46.2020344757775,10.5856317785839,8.26159780607153,10.2735030646755,9.50757307712221,0.683894942681535,4.99109724005888,2.79189748983948,6.70277012518942,1
